,0
1165,2162996.198750012
1166,2150182.9113900107
1167,2163735.0560550117
1168,2156914.496575012
1169,2157434.6410550117
1170,2143726.0016700123
1171,2163470.5503340117
1172,2143315.682559012
1173,2134737.5095590116
1174,2136736.541379012
1175,2154153.4328090115
1176,2158908.5920740115
1177,2171279.485989012
1178,2187655.4315990116
1179,2201377.862149012
1180,2214499.9493590114
1181,2207940.836079012
1182,2212022.274129011
1183,2219406.919189012
1184,2222595.9764790116
1185,2240869.2064790116
1186,2227207.1914590118
1187,2191957.9403090123
1188,2199518.3191810115
1189,2208153.5887010125
1190,2201616.6888410123
1191,2209661.471741012
1192,2188863.714581012
1193,2170578.530531012
1194,2171402.636536012
1195,2158605.008106012
1196,2147194.577276012
1197,2149319.768476012
1198,2139333.571186012
1199,2127804.325296012
1200,2120076.432106012
1201,2147797.218286012
1202,2158026.099776012
1203,2161672.3781160116
1204,2142751.684446012
1205,2170792.3237260114
1206,2172985.186686012
1207,2177221.907076012
1208,2168731.767076012
1209,2186688.517076012
1210,2138839.842674012
1211,2151527.109289012
1212,2154701.1118390122
1213,2162119.431794012
1214,2172909.098614012
1215,2168936.0759940124
1216,2176459.261054012
1217,2190392.276304012
1218,2193446.048329012
1219,2195939.8033290114
1220,2205423.493769012
1221,2189919.9437990114
1222,2190451.6932990123
1223,2191198.894479012
1224,2199223.468069012
1225,2209144.160249012
1226,2197314.809349012
1227,2186430.358764012
1228,2200542.9202058697
1229,2203736.0860697264
1230,2190225.5380468694
1231,2189586.113284012
1232,2203938.1845640116
1233,2224236.314564012
1234,2211638.437514012
1235,2194098.717514012
1236,2198799.873264012
1237,2181956.496364012
1238,2177135.0340540116
1239,2166316.6557840123
1240,2164170.031594012
1241,2194417.3558340115
1242,2179805.218374012
1243,2176723.4034165116
1244,2166251.2568965126
1245,2148215.053981512
1246,2156947.495491512
1247,2182474.6960315118
1248,2161372.519951511
1249,2195884.589291512
1250,2178544.053586512
1251,2210309.665606512
1252,2213249.7947615115
1253,2223255.787371512
1254,2230039.9465915128
1255,2229569.611041512
1256,2231283.0258415123
1257,2231460.4860115116
1258,2214911.231336512
1259,2216758.431066512
1260,2197813.931066512
1261,2208581.9404094196
1262,2193370.2574864877
1263,2197554.527830589
1264,2208000.9033155893
1265,2187318.09811559
1266,2198185.257145589
1267,2213864.359905589
1268,2221451.15258559
1269,2198945.753968447
1270,2196345.5899970178
1271,2187107.8421513042
1272,2187093.1953998744
1273,2157130.9623298757
1274,2182019.375779875
1275,2191048.392669875
1276,2162131.1542998757
1277,2188838.6917298753
1278,2199088.3424498755
1279,2169646.2274148753
1280,2171303.0795348748
1281,2176455.7752548745
1282,2211011.006314875
1283,2234201.2431648755
1284,2214273.245854875
1285,2225567.6213448755
1286,2224758.125884875
